/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 114 | 드론3 목적지80 | 1000스텝 | 배송 65/80 | 재적재 11 | 중계율 0.19 | alpha 2.709 | step_limit
Ep 115 | 드론6 목적지78 |  588스텝 | 배송 78/78 | 재적재 13 | 중계율 0.10 | alpha 2.671 | complete
Ep 116 | 드론5 목적지72 | 1000스텝 | 배송 70/72 | 재적재 12 | 중계율 0.18 | alpha 2.662 | step_limit
Ep 117 | 드론4 목적지54 | 1000스텝 | 배송 49/54 | 재적재  9 | 중계율 0.18 | alpha 2.613 | step_limit
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 52/63 | 재적재 10 | 중계율 0.20 | alpha 2.589 | step_limit
Ep 119 | 드론6 목적지66 |  608스텝 | 배송 66/66 | 재적재 10 | 중계율 0.14 | alpha 2.593 | complete
Ep 120 | 드론5 목적지70 |  905스텝 | 배송 70/70 | 재적재 12 | 중계율 0.18 | alpha 2.550 | complete
Ep 121 | 드론5 목적지45 |  535스텝 | 배송 45/45 | 재적재  7 | 중계율 0.12 | alpha 2.573 | complete
Ep 122 | 드론5 목적지26 |  494스텝 | 배송 26/26 | 재적재  4 | 중계율 0.21 | alpha 2.578 | complete
Ep 123 | 드론6 목적지30 |  332스텝 | 배송 30/30 | 재적재  3 | 중계율 0.18 | alpha 2.558 | complete
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 57/80 | 재적재 11 | 중계율 0.25 | alpha 2.570 | step_limit
Ep 125 | 드론6 목적지41 |  463스텝 | 배송 41/41 | 재적재  5 | 중계율 0.15 | alpha 2.598 | complete
Ep 126 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.27 | alpha 2.632 | step_limit
Ep 127 | 드론4 목적지37 |  697스텝 | 배송 37/37 | 재적재  7 | 중계율 0.26 | alpha 2.638 | complete
Ep 128 | 드론3 목적지42 |  782스텝 | 배송 42/42 | 재적재  8 | 중계율 0.21 | alpha 2.633 | complete
Ep 129 | 드론5 목적지52 |  617스텝 | 배송 52/52 | 재적재  9 | 중계율 0.14 | alpha 2.647 | complete
Ep 130 | 드론3 목적지40 |  889스텝 | 배송 40/40 | 재적재  7 | 중계율 0.30 | alpha 2.702 | complete
Ep 131 | 드론4 목적지39 |  528스텝 | 배송 39/39 | 재적재  7 | 중계율 0.15 | alpha 2.698 | complete
Ep 132 | 드론6 목적지63 |  483스텝 | 배송 63/63 | 재적재 11 | 중계율 0.13 | alpha 2.670 | complete
Ep 133 | 드론4 목적지61 |  876스텝 | 배송 61/61 | 재적재 11 | 중계율 0.18 | alpha 2.615 | complete
Ep 134 | 드론5 목적지22 |  219스텝 | 배송 22/22 | 재적재  2 | 중계율 0.12 | alpha 2.616 | complete
Ep 135 | 드론3 목적지20 |  752스텝 | 배송 20/20 | 재적재  3 | 중계율 0.22 | alpha 2.586 | complete
Ep 136 | 드론6 목적지57 |  530스텝 | 배송 57/57 | 재적재  8 | 중계율 0.16 | alpha 2.586 | complete
Ep 137 | 드론4 목적지24 |  347스텝 | 배송 24/24 | 재적재  3 | 중계율 0.15 | alpha 2.592 | complete
Ep 138 | 드론5 목적지35 |  371스텝 | 배송 35/35 | 재적재  5 | 중계율 0.14 | alpha 2.593 | complete
Ep 139 | 드론4 목적지29 |  424스텝 | 배송 29/29 | 재적재  4 | 중계율 0.16 | alpha 2.590 | complete
Ep 140 | 드론3 목적지32 | 1000스텝 | 배송 26/32 | 재적재  5 | 중계율 0.29 | alpha 2.584 | step_limit
Ep 141 | 드론4 목적지54 |  682스텝 | 배송 54/54 | 재적재  9 | 중계율 0.17 | alpha 2.584 | complete
Ep 142 | 드론3 목적지42 |  917스텝 | 배송 42/42 | 재적재  8 | 중계율 0.16 | alpha 2.552 | complete
Ep 143 | 드론3 목적지23 |  592스텝 | 배송 23/23 | 재적재  3 | 중계율 0.21 | alpha 2.520 | complete
Ep 144 | 드론4 목적지61 | 1000스텝 | 배송 59/61 | 재적재 10 | 중계율 0.21 | alpha 2.517 | step_limit
Ep 145 | 드론4 목적지64 | 1000스텝 | 배송 58/64 | 재적재 11 | 중계율 0.20 | alpha 2.488 | step_limit
Ep 146 | 드론3 목적지71 | 1000스텝 | 배송 55/71 | 재적재 10 | 중계율 0.16 | alpha 2.434 | step_limit
Ep 147 | 드론3 목적지48 | 1000스텝 | 배송 47/48 | 재적재  8 | 중계율 0.21 | alpha 2.455 | step_limit
Ep 148 | 드론5 목적지36 |  549스텝 | 배송 36/36 | 재적재  5 | 중계율 0.18 | alpha 2.454 | complete
Ep 149 | 드론5 목적지40 |  771스텝 | 배송 40/40 | 재적재  5 | 중계율 0.18 | alpha 2.424 | complete
