/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 138 | 드론6 목적지35 |  313스텝 | 배송 35/35 | 재적재  4 | 중계율 0.03 | alpha 1.012 | complete
Ep 139 | 드론5 목적지29 |  378스텝 | 배송 29/29 | 재적재  4 | 중계율 0.02 | alpha 1.001 | complete
Ep 140 | 드론3 목적지32 | 1000스텝 | 배송 26/32 | 재적재  4 | 중계율 0.19 | alpha 0.995 | step_limit
Ep 141 | 드론4 목적지54 |  974스텝 | 배송 54/54 | 재적재  9 | 중계율 0.09 | alpha 0.992 | complete
Ep 142 | 드론3 목적지42 | 1000스텝 | 배송 40/42 | 재적재  7 | 중계율 0.12 | alpha 1.013 | step_limit
Ep 143 | 드론4 목적지23 |  679스텝 | 배송 23/23 | 재적재  3 | 중계율 0.12 | alpha 1.041 | complete
Ep 144 | 드론5 목적지61 | 1000스텝 | 배송 59/61 | 재적재 11 | 중계율 0.10 | alpha 1.065 | step_limit
Ep 145 | 드론5 목적지64 |  577스텝 | 배송 64/64 | 재적재 11 | 중계율 0.02 | alpha 1.071 | complete
Ep 146 | 드론3 목적지71 | 1000스텝 | 배송 45/71 | 재적재  8 | 중계율 0.07 | alpha 1.063 | step_limit
Ep 147 | 드론4 목적지48 | 1000스텝 | 배송 46/48 | 재적재  8 | 중계율 0.07 | alpha 1.058 | step_limit
Ep 148 | 드론6 목적지36 |  668스텝 | 배송 36/36 | 재적재  5 | 중계율 0.10 | alpha 1.060 | complete
Ep 149 | 드론7 목적지40 |  422스텝 | 배송 40/40 | 재적재  6 | 중계율 0.03 | alpha 1.069 | complete
Ep 150 | 드론5 목적지26 | 1000스텝 | 배송 24/26 | 재적재  3 | 중계율 0.11 | alpha 1.061 | step_limit
  [홀드아웃] 배송 44.1±3.7 완주 0.08 재적재 6.7 2홉+ 0.65 | 최고 44.1@ep150 정체 0/15  ← 갱신
