/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 135 | 드론3 목적지20 |  460스텝 | 배송 20/20 | 재적재  2 | 중계율 0.17 | alpha 0.001 | complete
Ep 136 | 드론6 목적지57 |  502스텝 | 배송 57/57 | 재적재 10 | 중계율 0.15 | alpha 0.001 | complete
Ep 137 | 드론4 목적지24 |  324스텝 | 배송 24/24 | 재적재  3 | 중계율 0.12 | alpha 0.001 | complete
Ep 138 | 드론5 목적지35 |  359스텝 | 배송 35/35 | 재적재  5 | 중계율 0.08 | alpha 0.001 | complete
Ep 139 | 드론4 목적지29 |  415스텝 | 배송 29/29 | 재적재  4 | 중계율 0.15 | alpha 0.001 | complete
Ep 140 | 드론3 목적지32 | 1000스텝 | 배송 29/32 | 재적재  4 | 중계율 0.29 | alpha 0.001 | step_limit
Ep 141 | 드론4 목적지54 |  662스텝 | 배송 54/54 | 재적재  9 | 중계율 0.18 | alpha 0.001 | complete
Ep 142 | 드론3 목적지42 |  636스텝 | 배송 42/42 | 재적재  7 | 중계율 0.17 | alpha 0.001 | complete
Ep 143 | 드론3 목적지23 |  399스텝 | 배송 23/23 | 재적재  3 | 중계율 0.23 | alpha 0.001 | complete
Ep 144 | 드론4 목적지61 |  962스텝 | 배송 61/61 | 재적재 11 | 중계율 0.26 | alpha 0.001 | complete
Ep 145 | 드론4 목적지64 |  915스텝 | 배송 64/64 | 재적재 11 | 중계율 0.22 | alpha 0.001 | complete
Ep 146 | 드론3 목적지71 | 1000스텝 | 배송 66/71 | 재적재 11 | 중계율 0.21 | alpha 0.001 | step_limit
Ep 147 | 드론3 목적지48 | 1000스텝 | 배송 44/48 | 재적재  8 | 중계율 0.33 | alpha 0.001 | step_limit
Ep 148 | 드론5 목적지36 |  566스텝 | 배송 36/36 | 재적재  7 | 중계율 0.23 | alpha 0.001 | complete
Ep 149 | 드론5 목적지40 |  413스텝 | 배송 40/40 | 재적재  6 | 중계율 0.13 | alpha 0.001 | complete
Ep 150 | 드론4 목적지26 |  507스텝 | 배송 26/26 | 재적재  4 | 중계율 0.18 | alpha 0.001 | complete
