/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 159 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.20 교착최장  12 | step_limit
Ep 160 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.25 교착최장  17 | step_limit
Ep 161 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.32 교착최장  21 | step_limit
Ep 162 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.24 교착최장  18 | step_limit
Ep 163 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.13 교착최장  15 | step_limit
Ep 164 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.25 교착최장  14 | step_limit
Ep 165 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.11 교착최장  11 | step_limit
Ep 166 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.11 교착최장  12 | step_limit
Ep 167 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.17 교착최장  20 | step_limit
Ep 168 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.26 교착최장  25 | step_limit
Ep 169 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.33 교착최장  32 | step_limit
Ep 170 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.12 교착최장  15 | step_limit
